seed,rival,gap,ci_lo,ci_hi,DM,DM_p,n_series,verdict
42,SeasonalNaive,0.05355229626349545,0.03064680305742542,0.07699311030791472,4.721036203325501,2.346461647559215e-06,3000,TFT
42,Chronos,-0.007078123985130691,-0.021566676162318797,0.005570499971376023,-1.0080627496184589,0.31342433897543365,3000,TIE
42,TimesFM,-0.013489753631531542,-0.026507735718200427,-0.001713457082163461,-1.9590427684811997,0.05010777832881022,3000,rival
42,Moirai,0.016157085054002762,-0.005537084525905745,0.04031231457355333,1.3979483546915314,0.1621285765219783,3000,TIE
42,TabPFN,0.002995646407180863,-0.013152127368408768,0.018663550788299496,0.37259501093357866,0.7094498865916443,3000,TIE
43,SeasonalNaive,0.07097500185557193,0.04735573098050404,0.09500654575883466,6.666895744335104,2.612705476606396e-11,3000,TFT
43,Chronos,0.01034458160694579,-0.0042322195047060085,0.022912574149322493,1.586401536799291,0.11264825203814392,3000,TIE
43,TimesFM,0.003932951960544939,-0.009150734427063722,0.014784870142012702,0.6370577326731015,0.5240872388984353,3000,TIE
43,Moirai,0.033579790646079244,0.012784511448925954,0.0583922645921454,3.046007966559744,0.0023190169063206614,3000,TFT
43,TabPFN,0.020418351999257345,0.0057067357474834745,0.03503271996607078,2.896787617144692,0.003770048852269174,3000,TFT
44,SeasonalNaive,0.05641985003429051,0.031659256241835555,0.08316325299434524,4.697980990863914,2.6274587875682138e-06,3000,TFT
44,Chronos,-0.004210570214335629,-0.01967812379801651,0.010130193547760144,-0.5340949807255186,0.5932758222192765,3000,TIE
44,TimesFM,-0.010622199860736481,-0.026216723914365914,0.002518667224847746,-1.3790295571615208,0.16788564097267572,3000,TIE
44,Moirai,0.019024638824797824,-0.0034189438396957372,0.046128987499456056,1.5673221014682093,0.11703942186012983,3000,TIE
44,TabPFN,0.005863200177975925,-0.01210644906710829,0.02308494686227347,0.6653414276521268,0.5058321388982623,3000,TIE
